CruiseKey	StationKey	HaulKey	SpeciesCategoryKey	SampleKey	IndividualKey	Individual	IndividualRoundWeight	IndividualTotalLength	LengthResolution	WeightMeasurement	IndividualAge	IndividualSex	readability
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	36	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-36	13	17	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	37	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-37	8	13.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	38	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-38	21	19.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	39	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-39	9	14	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	40	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-40	7	14	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	41	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-41	24	21	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	42	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-42	7	13.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	43	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-43	15	17.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	44	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-44	11	16	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	45	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-45	15	17.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	46	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-46	24	20	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	47	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-47	7	14	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	48	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-48	17	18.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	49	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-49	14	17	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	50	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-50	15	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	51	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-51	11	16	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	52	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-52	17	19	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	53	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-53	11	15.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	54	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-54	20	20	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	55	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-55	14	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	56	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-56	18	18.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	57	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-57	22	20	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	58	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-58	17	18.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	59	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-59	19	19	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	60	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-60	11	15.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	61	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-61	14	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	62	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-62	12	15.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	63	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-63	16	18.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	64	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-64	14	17.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	65	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-65	17	19	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	66	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-66	10	15	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	67	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-67	10	16	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	68	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-68	11	16.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	69	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-69	14	17	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	70	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-70	8	14.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	71	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-71	6	13	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	72	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-72	23	20	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	73	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-73	12	16	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	74	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-74	16	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	75	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-75	15	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	76	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-76	19	19	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	77	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-77	13	17	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	78	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-78	18	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	79	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-79	17	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	80	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-80	16	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	81	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-81	14	17.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	82	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-82	15	17.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	83	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-83	13	17	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	84	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-84	10	15	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	85	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-85	18	18.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	86	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-86	8	14	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	87	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-87	14	17.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	88	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-88	12	16.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	89	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-89	10	15	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	90	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-90	9	15	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	91	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-91	7	13.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	92	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-92	7	13	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	93	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-93	16	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	94	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-94	8	14	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	95	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-95	15	17.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	96	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-96	15	17.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	97	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-97	17	18.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	98	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-98	9	15	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	99	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-99	8	14	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	100	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-100	19	20	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	101	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-101	21	20	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	102	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-102	15	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	103	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-103	18	18.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	1	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-1	17	18.5	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	2	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-2	22	20	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	3	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-3	21	21	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	6	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-6	16	18.5	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	7	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-7	12	18	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	8	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-8	25	21.5	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	9	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-9	3	11.5	0.5	IndividualWeight	1		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	10	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-10	15	18	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	11	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-11	11	16	0.5	IndividualWeight	1		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	12	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-12	5	12	0.5	IndividualWeight	1		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	13	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-13	11	17	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	14	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-14	8	16	0.5	IndividualWeight	3		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	15	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-15	18	19	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	16	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-16	17	19	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	17	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-17	11	16.5	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	18	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-18	15	18.5	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	19	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-19	5	13	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	20	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-20	23	21.5	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	21	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-21	18	19	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	22	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-22	19	19.5	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	23	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-23	6	13.5	0.5	IndividualWeight	1		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	24	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-24	16	19	0.5	IndividualWeight	3		1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	26	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-26	24	21.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	27	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-27	14	17.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	28	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-28	7	14.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	29	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-29	19	19.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	30	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-30	25	22	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	31	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-31	17	19	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	32	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-32	23	21	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	33	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-33	17	19	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	34	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-34	19	19	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	35	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-35	13	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	36	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-36	17	19	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	37	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-37	14	18.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	38	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-38	5	12.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	39	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-39	5	12.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	40	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-40	13	18	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	41	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-41	4	12	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	42	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-42	3	11	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	43	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-43	7	16.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	44	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-44	22	21.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	45	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-45	7	14	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	46	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-46	6	14	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	47	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-47	8	15.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	48	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-48	10	17	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	49	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-49	15	19	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	50	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-50	6	13.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	51	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-51	2	10	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	52	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-52	22	21	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	53	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-53	13	19	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	54	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-54	19	20	0.5	IndividualWeight			
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	55	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1-55	8	14.5	0.5	IndividualWeight			
