"Survey"	"Stratum"	"Layer"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Beam"	"Frequency"	"Abundance"	"MinLayerDepth"	"MaxLayerDepth"
"Survey"	"45G9"	"WaterColumn"	"126417"	17	0.5	"I1"	38000	155831042.688764	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	17.5	0.5	"I1"	38000	100177098.871346	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	18	0.5	"I1"	38000	55653943.8174172	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	18.5	0.5	"I1"	38000	11130788.7634882	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	8	0.5	"I1"	38000	28033500.6102785	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	8.5	0.5	"I1"	38000	2642365.66919553	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	9	0.5	"I1"	38000	14516357.3306074	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	9.5	0.5	"I1"	38000	1321182.83459777	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	12	0.5	"I1"	38000	5606700.1220565	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	12.5	0.5	"I1"	38000	1665613.03864541	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	13	0.5	"I1"	38000	31810617.7139822	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	13.5	0.5	"I1"	38000	46355244.035386	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	14	0.5	"I1"	38000	26203917.5919257	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	14.5	0.5	"I1"	38000	44689630.9967406	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	15	0.5	"I1"	38000	114199487.593463	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	15.5	0.5	"I1"	38000	125576857.817283	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	16	0.5	"I1"	38000	135570536.04916	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	16.5	0.5	"I1"	38000	84218452.8978336	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	17	0.5	"I1"	38000	50742222.14521	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	17.5	0.5	"I1"	38000	47410996.0679152	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	18	0.5	"I1"	38000	23928443.5471641	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	18.5	0.5	"I1"	38000	17875852.3986987	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	19	0.5	"I1"	38000	3331226.07729081	10	189.2
"Survey"	"46G9"	"WaterColumn"	"126417"	19.5	0.5	"I1"	38000	1665613.03864541	10	189.2
"Survey"	"46H0"	"WaterColumn"	"126417"	8	0.5	"I1"	38000	6535844.21737923	10	189.2
"Survey"	"46H0"	"WaterColumn"	"126417"	8.5	0.5	"I1"	38000	9531439.48367813	10	189.2
"Survey"	"46H0"	"WaterColumn"	"126417"	9	0.5	"I1"	38000	4629556.32064371	10	189.2
"Survey"	"46H0"	"WaterColumn"	"126417"	12	0.5	"I1"	38000	998531.755433028	10	189.2
"Survey"	"46H0"	"WaterColumn"	"126417"	12.5	0.5	"I1"	38000	3631024.56521068	10	189.2
"Survey"	"46H0"	"WaterColumn"	"126417"	13	0.5	"I1"	38000	3631024.56521068	10	189.2
"Survey"	"46H0"	"WaterColumn"	"126417"	14	0.5	"I1"	38000	2995595.2662989	10	189.2
"Survey"	"46H0"	"WaterColumn"	"126417"	14.5	0.5	"I1"	38000	1997063.51086588	10	189.2
"Survey"	"46H0"	"WaterColumn"	"126417"	15.5	0.5	"I1"	38000	1997063.51086588	10	189.2
