"Survey"	"Stratum"	"Layer"	"Beam"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Frequency"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"MeanDensityWeight"
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	18	0.5	38000	59778.9518738494	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	18.5	0.5	38000	11955.790374775	10	189.2	53
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	8	0.5	38000	29834.2816696507	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	8.5	0.5	38000	2812.10266048937	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	9	0.5	38000	15448.8409934737	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	9.5	0.5	38000	1406.05133024469	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	12	0.5	38000	5966.856333931	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	12.5	0.5	38000	1772.60661229622	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	13	0.5	38000	33854.0285124633	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	13.5	0.5	38000	49332.9544049177	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	14	0.5	38000	27887.1721785323	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	14.5	0.5	38000	47560.3477926215	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	15	0.5	38000	121535.291890873	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	15.5	0.5	38000	133643.507437557	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	16	0.5	38000	144279.147111339	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	16.5	0.5	38000	89628.3728695279	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	17	0.5	38000	54001.7377447727	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	17.5	0.5	38000	50456.5245201759	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	18	0.5	38000	25465.529069198	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	18.5	0.5	38000	19024.1391170512	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	19	0.5	38000	3545.21322459245	10	189.2	36
"Survey"	"46G9"	"WaterColumn"	"I1"	"126417"	19.5	0.5	38000	1772.60661229622	10	189.2	36
"Survey"	"46H0"	"WaterColumn"	"I1"	"126417"	8	0.5	38000	6952.95332788944	10	189.2	64
"Survey"	"46H0"	"WaterColumn"	"I1"	"126417"	8.5	0.5	38000	10139.7236031722	10	189.2	64
"Survey"	"46H0"	"WaterColumn"	"I1"	"126417"	9	0.5	38000	4925.00860725511	10	189.2	64
"Survey"	"46H0"	"WaterColumn"	"I1"	"126417"	12	0.5	38000	1062.25675842765	10	189.2	64
"Survey"	"46H0"	"WaterColumn"	"I1"	"126417"	12.5	0.5	38000	3862.75184882746	10	189.2	64
"Survey"	"46H0"	"WaterColumn"	"I1"	"126417"	13	0.5	38000	3862.75184882746	10	189.2	64
"Survey"	"46H0"	"WaterColumn"	"I1"	"126417"	14	0.5	38000	3186.77027528275	10	189.2	64
"Survey"	"46H0"	"WaterColumn"	"I1"	"126417"	14.5	0.5	38000	2124.51351685511	10	189.2	64
"Survey"	"46H0"	"WaterColumn"	"I1"	"126417"	15.5	0.5	38000	2124.51351685511	10	189.2	64
