"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"
"BIAS_2018_SWE"	"53"	"26"	"126505"	"1"	"BIAS_2018_SWE-53-26-126505-1"	73.618	76	0.00013	76
"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51
"BIAS_2018_SWE"	"55"	"27"	"126417"	"2"	"BIAS_2018_SWE-55-27-126417-2"	222.414	204	0.00464	204
"BIAS_2018_SWE"	"55"	"27"	"126425"	"1"	"BIAS_2018_SWE-55-27-126425-1"	1.485	51	0.000188	51
"BIAS_2018_SWE"	"55"	"27"	"126425"	"2"	"BIAS_2018_SWE-55-27-126425-2"	17.06	159	0.0018	159
"BIAS_2018_SWE"	"55"	"27"	"126505"	"1"	"BIAS_2018_SWE-55-27-126505-1"	4.913	68	0.000116	68
"BIAS_2018_SWE"	"57"	"28"	"126417"	"1"	"BIAS_2018_SWE-57-28-126417-1"	3.965	46	0.000282	46
"BIAS_2018_SWE"	"57"	"28"	"126425"	"1"	"BIAS_2018_SWE-57-28-126425-1"	191.202	176	0.00164	176
"BIAS_2018_SWE"	"57"	"28"	"126505"	"1"	"BIAS_2018_SWE-57-28-126505-1"	8.97	75	0.00013	75
"BIAS_2018_SWE"	"59"	"29"	"126417"	"1"	"BIAS_2018_SWE-59-29-126417-1"	39.244	108	0.002514	108
"BIAS_2018_SWE"	"59"	"29"	"126425"	"1"	"BIAS_2018_SWE-59-29-126425-1"	383.229	261	0.00166	261
"BIAS_2018_SWE"	"59"	"29"	"126505"	"1"	"BIAS_2018_SWE-59-29-126505-1"	2.154	57	0.000109	57
"BIAS_2018_SWE"	"61"	"30"	"126417"	"1"	"BIAS_2018_SWE-61-30-126417-1"	76.818	211	0.00598	211
"BIAS_2018_SWE"	"61"	"30"	"126425"	"1"	"BIAS_2018_SWE-61-30-126425-1"	2.019	77	0.000652	77
"BIAS_2018_SWE"	"61"	"30"	"126505"	"1"	"BIAS_2018_SWE-61-30-126505-1"	6.942	64	0.000132	64
"BIAS_2018_SWE"	"63"	"31"	"126417"	"1"	"BIAS_2018_SWE-63-31-126417-1"	1.197	30	0.000122	30
"BIAS_2018_SWE"	"63"	"31"	"126417"	"2"	"BIAS_2018_SWE-63-31-126417-2"	161.146	228	0.00605	228
"BIAS_2018_SWE"	"63"	"31"	"126425"	"1"	"BIAS_2018_SWE-63-31-126425-1"	23.5	244	0.002396	244
"BIAS_2018_SWE"	"63"	"31"	"126505"	"1"	"BIAS_2018_SWE-63-31-126505-1"	42.371	63	0.000132	63
