"Survey"	"Stratum"	"PSU"	"Layer"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"WeightedCount"	"MinLayerDepth"	"MaxLayerDepth"	"MeanLengthDistributionWeight"	"LengthDistributionType"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126436"	14	1	0.720903075126	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126436"	15	1	2.162709225379	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126436"	16	1	0.720903075126	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126436"	17	1	0.720903075126	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	15	1	24.899152738079	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	16	1	65.524086152839	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	17	1	89.112757167862	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	18	1	60.282159260612	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	19	1	41.935415137818	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	20	1	26.209634461135	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	21	1	14.415298953625	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	22	1	3.931445169171	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	23	1	2.620963446114	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126425"	8	1	138.13600076184	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126425"	10	1	2072.0400114276	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126425"	11	1	10083.9280556143	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126425"	12	1	5387.30402971176	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126425"	13	1	69.06800038092	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU1"	"WaterColumn"	"126425"	6	1	633.155240461163	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU1"	"WaterColumn"	"126425"	7	1	6441.66635947444	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU1"	"WaterColumn"	"126425"	8	1	110.113954862811	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU2"	"WaterColumn"	"126425"	6	1	48.488153173003	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU2"	"WaterColumn"	"126425"	7	1	3660.8555645617	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU2"	"WaterColumn"	"126425"	8	1	121.220382932507	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU2"	"WaterColumn"	"126425"	9	1	72.732229759504	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU2"	"WaterColumn"	"126425"	10	1	290.928919038016	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU2"	"WaterColumn"	"126425"	11	1	606.101914662534	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU2"	"WaterColumn"	"126425"	12	1	218.196689278512	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU2"	"WaterColumn"	"126425"	13	1	48.488153173003	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126417"	15	1	226.060505468897	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126417"	16	1	936.536379799717	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126417"	17	1	1905.36711752356	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126417"	18	1	1937.66147544769	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126417"	19	1	839.653306027333	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126417"	20	1	839.653306027333	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126417"	21	1	549.00408471018	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126417"	22	1	129.177431696512	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126417"	23	1	96.883073772384	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126425"	7	1	46.38381678401	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126425"	8	1	9.276763356802	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126425"	9	1	15.461272261337	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126425"	10	1	173.166249326971	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126425"	11	1	321.594463035802	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126425"	12	1	126.782432542961	30	69	1	"Normalized"
"Survey"	"Stratum2"	"PSU5"	"WaterColumn"	"126425"	13	1	6.184508904535	30	69	1	"Normalized"
